Record_ID,AI_System_ID,Model_Version,Record_Type,Title,Description,Category,Inherent_Risk_Score,Residual_Risk_Score,Status,Owner,Approver,Stakeholders,ISO_42001_Mapping,NIST_AI_RMF_Mapping,EU_AI_Act_Mapping,Source,Treatment_Type,Success_Criteria,Evidence_Link,Created_Date,Last_Updated,Target_Date,Completion_Date,Review_Date,Retention_Period,Rationale,Approval_Date,Approver_Notes
RISK-001,AIS-2024-001,v2.3.1,Risk,Training data bias in demographic representation,"Underrepresentation of certain demographic groups in training dataset may lead to disparate model performance across populations",Technical,16,8,Treatment Open,Jane Smith,Michael Chen,"Data Science Team, Legal, Ethics Board","6.1.2, Annex A.7.3","MAP-5, MEASURE-2.7",Article 10,Proactive Assessment,Mitigate,Demographic performance parity within 5% across all groups,/evidence/bias-analysis-2024-01.pdf,2024-01-15,2024-02-20,2024-03-30,,2024-06-15,System lifetime + 5 years,Initial bias audit revealed 15% performance gap for underrepresented groups; mitigation through targeted data augmentation in progress,,
RISK-002,AIS-2024-001,v2.3.1,Risk,Model drift in production environment,"Gradual degradation of model accuracy due to changing input distributions over time",Technical,12,6,Monitoring,David Park,Jane Smith,ML Ops Team,"9.1, Annex A.6.2.7","MEASURE-4, MANAGE-3",Article 12,Operational Monitoring,Mitigate,Drift detection alerts within 24 hours of threshold breach,/evidence/drift-monitoring-config.json,2024-01-20,2024-02-15,2024-02-01,2024-02-01,2024-05-01,System lifetime + 3 years,Drift monitoring implemented with automated alerting; monthly manual review added as secondary control,2024-02-01,Accepted with condition of quarterly review cadence
RISK-003,AIS-2024-002,v1.0.0,Risk,Insufficient explainability for regulated decisions,"Model outputs used in consequential decisions lack adequate explanation for affected individuals",Legal,20,12,Under Assessment,Sarah Johnson,Legal Director,"Product Team, Compliance, Customer Success","Annex A.5.3, Annex A.6.2.6","GOVERN-5, MANAGE-4","Article 13, Article 14",Regulatory Review,Mitigate,Explanation provided for 100% of adverse decisions meeting regulatory threshold,/evidence/explainability-requirements.docx,2024-02-01,2024-02-18,2024-04-15,,2024-07-01,10 years,High-risk use case under EU AI Act requires transparency measures; evaluating SHAP vs LIME approaches,,
DEC-001,AIS-2024-001,v2.3.1,Decision,Selection of privacy-preserving technique for federated deployment,"Decision between differential privacy, federated learning, and secure multi-party computation for sensitive data processing",Technical,N/A,N/A,Approved,ML Architecture Team,Chief Privacy Officer,"Data Science, Security, Legal","Annex A.6.2.6, Annex A.7.4","GOVERN-5, MANAGE-4",Article 10,Design Review,N/A,N/A,/evidence/privacy-technique-decision-matrix.xlsx,2024-01-25,2024-02-10,2024-02-10,2024-02-10,2025-02-10,Permanent,Differential privacy selected: balances privacy guarantees with model utility; federated learning rejected due to infrastructure complexity; secure MPC rejected due to latency requirements,2024-02-10,Approved with annual review of privacy budget parameters
DEC-002,AIS-2024-002,v1.0.0,Decision,Model architecture selection for classification task,"Choice between transformer-based model with higher accuracy vs interpretable ensemble with clearer decision paths",Technical,N/A,N/A,Approved,Tech Lead,Product Director,"Data Science, Product, Compliance","Annex A.5.3, Annex A.6.2.4","MAP-2, MANAGE-4",Article 14,Architecture Review,N/A,N/A,/evidence/model-selection-analysis.pdf,2024-02-05,2024-02-12,2024-02-12,2024-02-12,2025-02-12,Permanent,Interpretable ensemble selected despite 3% accuracy reduction; regulatory context requires explainability for affected individuals; transformer option documented for potential future reassessment,2024-02-12,Conditionally approved; reassess if accuracy requirements change
FIND-001,AIS-2024-001,v2.3.0,Finding,Missing documentation for training data preprocessing steps,"Internal audit identified incomplete documentation of data transformations applied during model training",Operational,N/A,N/A,Corrective Action Planned,Data Engineering Lead,Internal Audit Manager,Data Science Team,"Annex A.6.2.4, Annex A.7.5","GOVERN-4, MAP-4",Article 11,Internal Audit,N/A,Complete preprocessing documentation with versioned pipeline configs,/evidence/audit-report-2024-Q1.pdf,2024-02-10,2024-02-15,2024-03-15,,2024-04-15,6 years,Audit finding severity: Medium; root cause traced to lack of documentation requirements in data pipeline templates; corrective action includes template updates and retroactive documentation,,
ACT-001,FIND-001,N/A,Action,Document all preprocessing transformations for AIS-2024-001,"Create comprehensive documentation of all data transformations including normalization, encoding, and feature engineering steps",Operational,N/A,N/A,Implementation In Progress,Senior Data Engineer,Data Engineering Lead,Data Science Team,Annex A.7.5,MAP-4,Article 11,Finding Response,N/A,Documentation covers 100% of preprocessing steps with input/output specifications,/evidence/preprocessing-docs-wip/,2024-02-12,2024-02-18,2024-03-01,,N/A,Linked to FIND-001,Child action of FIND-001; prioritized due to upcoming external audit,,
ACT-002,FIND-001,N/A,Action,Update data pipeline templates with documentation requirements,"Modify standard templates to include mandatory documentation fields for all transformation steps",Operational,N/A,N/A,Pending Review,Data Platform Team,Data Engineering Lead,"All Data Teams, ML Ops",Annex A.7.5,GOVERN-4,N/A,Finding Response,N/A,Templates enforce documentation for new pipelines; validation in CI/CD,/evidence/template-updates-pr-456/,2024-02-12,2024-02-20,2024-03-10,,N/A,Linked to FIND-001,Preventive measure to avoid recurrence; will apply to all future pipelines,,
TRAIN-001,AIS-2024-001,N/A,Competence,AI Ethics and Responsible AI Training,"Required training for all team members working on AI systems covering bias, fairness, transparency, and accountability",Ethical,N/A,N/A,Completed,HR Training Manager,AIMS Manager,All AI Development Staff,"7.2, 7.3","GOVERN-3, GOVERN-3.2",Article 14,Competence Requirement,N/A,100% completion for assigned personnel,/evidence/training-completion-report-q1.csv,2024-01-01,2024-02-15,2024-03-31,2024-02-15,2025-01-01,Employment + 5 years,Annual required training; completion tracked in HR system; refresher required annually,2024-02-15,All assigned personnel completed; 3 new hires to complete within 30 days of start
REV-001,AIS-2024-001,v2.3.1,Review,Q1 2024 Management Review - AI Systems,"Quarterly leadership review of AI system performance, risk posture, and resource allocation",Operational,N/A,N/A,Completed,AIMS Manager,Executive Sponsor,"Leadership Team, Risk Committee, Legal",9.3,"GOVERN-1, GOVERN-2",Article 17,Scheduled Review,N/A,N/A,/evidence/management-review-2024-q1-minutes.pdf,2024-02-01,2024-02-05,2024-02-05,2024-02-05,2024-05-01,7 years,Covered: 2 production AI systems; 5 risks reviewed; 2 escalated for additional resources; approved continued operation with enhanced monitoring,2024-02-05,Next review: Q2 2024; action items assigned to risk owners
INC-001,AIS-2024-001,v2.3.0,Incident,False positive rate spike in production,"Automated monitoring detected 40% increase in false positive rate over 72-hour period",Technical,N/A,N/A,Closed - Verified,ML Ops Lead,Jane Smith,"Data Science, Product, Customer Success","10.2, 9.1","MANAGE-2.4, MEASURE-4",Article 72,Automated Alert,N/A,False positive rate returned to baseline (< 5% variance),/evidence/incident-report-INC-001.pdf,2024-02-08,2024-02-14,2024-02-10,2024-02-12,2024-05-12,5 years,Root cause: upstream data schema change not communicated; resolution: rollback to v2.2.9 then coordinated update; preventive: added schema validation in pipeline,2024-02-14,Incident closed; schema validation prevents recurrence; no customer impact due to rapid detection
