Control ID,Control Name,ISO Clause,Control Description,AWS Service,Implementation Guidance,Control Support
6.1.2,Understanding AI System Risks and Opportunities,6 - Planning,Organization shall determine risks and opportunities related to AI systems,Amazon SageMaker Model Monitor,"Monitor ML models for data drift, model quality degradation, and bias detection to identify risks in production AI systems",Continuous monitoring and alerting on model performance and data quality
6.1.2,Understanding AI System Risks and Opportunities,6 - Planning,Organization shall determine risks and opportunities related to AI systems,AWS Security Hub,Centralized security findings and compliance checks across AWS resources used for AI/ML workloads,Risk identification and security posture assessment
6.1.2,Understanding AI System Risks and Opportunities,6 - Planning,Organization shall determine risks and opportunities related to AI systems,Amazon CloudWatch,"Monitor AI system performance metrics, set alarms for anomalies, and track operational risks",Real-time visibility into AI system health and performance
7.5,Documented Information and Data Management,7 - Support,Organization shall determine documented information necessary for effectiveness of AI management system,Amazon S3,"Store training data, model artifacts, and documentation with versioning, lifecycle policies, and encryption","Secure, versioned storage for AI system documentation and data"
7.5,Documented Information and Data Management,7 - Support,Organization shall determine documented information necessary for effectiveness of AI management system,AWS Lake Formation,Centralized data governance for AI training data with fine-grained access controls and data catalog,"Data governance, lineage tracking, and access management"
7.5,Documented Information and Data Management,7 - Support,Organization shall determine documented information necessary for effectiveness of AI management system,AWS Glue Data Catalog,Metadata management and data discovery for AI/ML datasets,"Data documentation, classification, and discovery"
7.5,Documented Information and Data Management,7 - Support,Organization shall determine documented information necessary for effectiveness of AI management system,Amazon Macie,Automated discovery and classification of sensitive data in training datasets,Data privacy and sensitive data identification
A.2,AI System Impact Assessment,Annex A,"Assess potential impacts of AI systems on individuals, society, and environment",Amazon SageMaker Clarify,"Detect bias in training data and models, generate explainability reports for impact assessment","Bias detection, fairness metrics, and model explainability"
A.2,AI System Impact Assessment,Annex A,"Assess potential impacts of AI systems on individuals, society, and environment",AWS Audit Manager,Automate evidence collection for impact assessment processes and compliance audits,Audit trail and compliance evidence management
A.2,AI System Impact Assessment,Annex A,"Assess potential impacts of AI systems on individuals, society, and environment",Amazon SageMaker Model Cards,"Document model characteristics, intended use, performance metrics, and ethical considerations",Model documentation and impact transparency
A.3,Data for AI System,Annex A,"Ensure data quality, relevance, and suitability for AI system purposes",AWS Glue DataBrew,"Data quality profiling, cleansing, and normalization for ML training data",Data quality assessment and transformation
A.3,Data for AI System,Annex A,"Ensure data quality, relevance, and suitability for AI system purposes",Amazon SageMaker Data Wrangler,Visual data preparation and quality checks for ML workflows,Data quality validation and feature engineering
A.3,Data for AI System,Annex A,"Ensure data quality, relevance, and suitability for AI system purposes",Amazon SageMaker Ground Truth,High-quality data labeling with built-in quality controls and validation,Training data quality and labeling accuracy
A.3,Data for AI System,Annex A,"Ensure data quality, relevance, and suitability for AI system purposes",AWS Glue Data Quality,"Define and monitor data quality rules, detect anomalies in data pipelines",Automated data quality monitoring and validation
A.4,AI System Design and Development,Annex A,"Establish processes for AI system design, development, and acquisition",Amazon SageMaker,"End-to-end ML development platform with built-in security, governance, and MLOps capabilities",Standardized ML development lifecycle
A.4,AI System Design and Development,Annex A,"Establish processes for AI system design, development, and acquisition",AWS CodePipeline,Automated CI/CD pipelines for ML model training and deployment with approval gates,Controlled and auditable model deployment process
A.4,AI System Design and Development,Annex A,"Establish processes for AI system design, development, and acquisition",Amazon SageMaker Pipelines,"Define, orchestrate, and manage ML workflows with versioning and lineage tracking",Reproducible and traceable ML development
A.4,AI System Design and Development,Annex A,"Establish processes for AI system design, development, and acquisition",AWS CodeCommit,"Version control for ML code, models, and configurations",Code versioning and change management
A.5,AI System Verification and Validation,Annex A,Verify and validate AI systems meet specified requirements and perform as intended,Amazon SageMaker Model Monitor,"Continuous validation of model quality, data drift, and model drift in production",Automated model validation and performance monitoring
A.5,AI System Verification and Validation,Annex A,Verify and validate AI systems meet specified requirements and perform as intended,Amazon SageMaker Experiments,"Track, compare, and evaluate ML experiments and model performance",Model validation and performance comparison
A.5,AI System Verification and Validation,Annex A,Verify and validate AI systems meet specified requirements and perform as intended,AWS Step Functions,Orchestrate automated testing workflows for AI systems with error handling,Automated validation workflows
A.6,AI System Operation,Annex A,Operate AI systems in accordance with intended use and monitor performance,Amazon SageMaker Endpoints,"Scalable, managed model hosting with auto-scaling and blue/green deployments",Reliable and controlled model deployment
A.6,AI System Operation,Annex A,Operate AI systems in accordance with intended use and monitor performance,Amazon CloudWatch,"Monitor AI system metrics, logs, and set alarms for operational issues",Operational monitoring and alerting
A.6,AI System Operation,Annex A,Operate AI systems in accordance with intended use and monitor performance,AWS X-Ray,Distributed tracing for AI/ML applications to identify performance bottlenecks,Application performance monitoring and debugging
A.6,AI System Operation,Annex A,Operate AI systems in accordance with intended use and monitor performance,Amazon EventBridge,Event-driven automation for AI system operations and incident response,Automated operational responses
A.7,Human Oversight,Annex A,Implement appropriate human oversight of AI system operation,Amazon A2I (Augmented AI),Human review workflows for ML predictions requiring oversight or low-confidence scenarios,Human-in-the-loop AI systems
A.7,Human Oversight,Annex A,Implement appropriate human oversight of AI system operation,Amazon SageMaker Clarify,Generate explainability reports to support human understanding and oversight,Model explainability for human reviewers
A.7,Human Oversight,Annex A,Implement appropriate human oversight of AI system operation,AWS Step Functions,Workflow orchestration with manual approval steps for critical AI decisions,Human approval gates in AI workflows
A.8,Transparency and Communication,Annex A,"Provide transparency about AI system capabilities, limitations, and operation",Amazon SageMaker Model Cards,"Document and share model information including intended use, limitations, and performance",Model transparency documentation
